Event,Fight
UFC Fight Night: Vettori vs. Dolidze 2,Brendson Ribeiro vs. Diyar Nurgozhay
UFC Fight Night: Vettori vs. Dolidze 2,Kevin Vallejos vs. SeungWoo Choi
UFC Fight Night: Vettori vs. Dolidze 2,Waldo Cortes-Acosta vs. Ryan Spann
UFC Fight Night: Vettori vs. Dolidze 2,Soo Young Yoo vs. AJ Cunningham
UFC Fight Night: Vettori vs. Dolidze 2,Carlos Vera vs. Josias Musasa
UFC Fight Night: Vettori vs. Dolidze 2,Sam Hughes vs. Stephanie Bruna
UFC Fight Night: Vettori vs. Dolidze 2,Andre Lima vs. Daniel Barez
UFC Fight Night: Vettori vs. Dolidze 2,Priscila Cachoeira vs. Josiane Nunes
UFC Fight Night: Vettori vs. Dolidze 2,Carli Judice vs. Yuneisy Duben
UFC 313: Pereira vs. Ankalaev,Magomed Ankalaev vs. Alex Pereira
UFC 313: Pereira vs. Ankalaev,Justin Gaethje vs. Rafael Fiziev
UFC 313: Pereira vs. Ankalaev,Ignacio Bahamondes vs. Jalin Turner
UFC 313: Pereira vs. Ankalaev,Amanda Lemos vs. Iasmin Lucindo
UFC 313: Pereira vs. Ankalaev,Mauricio Ruffy vs. Bobby Green
UFC 313: Pereira vs. Ankalaev,Joshua Van vs. Rei Tsuruya
UFC 313: Pereira vs. Ankalaev,Bruno Ferreira vs. Armen Petrosyan
UFC 313: Pereira vs. Ankalaev,Carlos Leal vs. Alex Morono
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall
UFC 313: Pereira vs. Ankalaev,Ozzy Diaz vs. Djorden Santos
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Assu Almabayev
UFC Fight Night: Kape vs. Almabayev,Cody Brundage vs. Julian Marquez
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis
UFC Fight Night: Kape vs. Almabayev,Sam Patterson vs. Danny Barlow
UFC Fight Night: Kape vs. Almabayev,Mario Pinto vs. Austen Lane
UFC Fight Night: Kape vs. Almabayev,Jose Mariscal vs. Ricardo Ramos
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida
UFC Fight Night: Kape vs. Almabayev,JJ Aldrich vs. Andrea Lee
UFC Fight Night: Kape vs. Almabayev,Ramazan Temirov vs. Charles Johnson
UFC Fight Night: Cejudo vs. Song,Song Yadong vs. Henry Cejudo
UFC Fight Night: Cejudo vs. Song,Anthony Hernandez vs. Brendan Allen
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto
UFC Fight Night: Cejudo vs. Song,Jean Silva Lord vs. Melsik Baghdasaryan
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker
UFC Fight Night: Cejudo vs. Song,Ion Cutelaba vs. Ibo Aslan
UFC Fight Night: Cejudo vs. Song,Melquizael Costa vs. Andre Fili
UFC Fight Night: Cejudo vs. Song,Mansur Abdul-Malik vs. Nick Klein
UFC Fight Night: Cejudo vs. Song,Ricky Simon vs. Javid Basharat
UFC Fight Night: Cejudo vs. Song,Austin Vanderford vs. Nikolay Veretennikov
UFC Fight Night: Cejudo vs. Song,Nursulton Ruziboev vs. Eric McConico
UFC Fight Night: Cejudo vs. Song,Modestas Bukauskas vs. Raffael Cerqueira
UFC Fight Night: Cannonier vs. Rodrigues,Jared Cannonier vs. Gregory Rodrigues
UFC Fight Night: Cannonier vs. Rodrigues,Youssef Zalal vs. Calvin Kattar
UFC Fight Night: Cannonier vs. Rodrigues,Edmen Shahbazyan vs. Dylan Budka
