Event,Fight
UFC Fight Night: Volkov vs. Aspinall,Paddy Pimblett vs. Kazula Vargas
UFC Fight Night: Volkov vs. Aspinall,Gunnar Nelson vs. Takashi Sato
UFC Fight Night: Volkov vs. Aspinall,Molly McCann vs. Luana Carolina
UFC Fight Night: Volkov vs. Aspinall,Ilia Topuria vs. Jai Herbert
UFC Fight Night: Volkov vs. Aspinall,Makwan Amirkhani vs. Mike Grundy
UFC Fight Night: Volkov vs. Aspinall,Sergei Pavlovich vs. Shamil Abdurakhimov
UFC Fight Night: Volkov vs. Aspinall,Paul Craig vs. Nikita Krylov
UFC Fight Night: Volkov vs. Aspinall,Jack Shore vs. Timur Valiev
UFC Fight Night: Volkov vs. Aspinall,Elise Reed vs. Cory McKenna
UFC Fight Night: Volkov vs. Aspinall,Muhammad Mokaev vs. Cody Durden
UFC Fight Night: Santos vs. Ankalaev,Magomed Ankalaev vs. Thiago Santos
UFC Fight Night: Santos vs. Ankalaev,Song Yadong vs. Marlon Moraes
UFC Fight Night: Santos vs. Ankalaev,Sodiq Yusuff vs. Alex Caceres
UFC Fight Night: Santos vs. Ankalaev,Khalil Rountree Jr. vs. Karl Roberson
UFC Fight Night: Santos vs. Ankalaev,Drew Dober vs. Terrance McKinney
UFC Fight Night: Santos vs. Ankalaev,Alex Pereira vs. Bruno Arruda da Silva
UFC Fight Night: Santos vs. Ankalaev,Matthew Semelsberger vs. AJ Fletcher
UFC Fight Night: Santos vs. Ankalaev,JJ Aldrich vs. Gillian Robertson
UFC Fight Night: Santos vs. Ankalaev,Javid Basharat vs. Trevin Jones
UFC Fight Night: Santos vs. Ankalaev,Damon Jackson vs. Kamuela Kirk
UFC Fight Night: Santos vs. Ankalaev,Miranda Maverick vs. Sabina Mazo
UFC Fight Night: Santos vs. Ankalaev,Cody Brundage vs. Dalcha Lungiambula
UFC Fight Night: Santos vs. Ankalaev,Guido Cannetti vs. Kris Moutinho
UFC Fight Night: Santos vs. Ankalaev,Azamat Murzakanov vs. Tafon Nchukwi
UFC 272: Covington vs. Masvidal,Colby Covington vs. Jorge Masvidal
UFC 272: Covington vs. Masvidal,Rafael Dos Anjos vs. Renato Moicano
UFC 272: Covington vs. Masvidal,Bryce Mitchell vs. Edson Barboza
UFC 272: Covington vs. Masvidal,Kevin Holland vs. Alex Oliveira
UFC 272: Covington vs. Masvidal,Serghei Spivac vs. Greg Hardy
UFC 272: Covington vs. Masvidal,Jalin Turner vs. Jamie Mullarkey
UFC 272: Covington vs. Masvidal,Marina Rodriguez vs. Yan Xiaonan
UFC 272: Covington vs. Masvidal,Nicolae Negumereanu vs. Kennedy Nzechukwu
UFC 272: Covington vs. Masvidal,Maryna Moroz vs. Mariya Agapova
UFC 272: Covington vs. Masvidal,Umar Nurmagomedov vs. Brian Kelleher
UFC 272: Covington vs. Masvidal,Tim Elliott vs. Tagir Ulanbekov
UFC 272: Covington vs. Masvidal,Ludovit Klein vs. Devonte Smith
UFC 272: Covington vs. Masvidal,Dustin Jacoby vs. Michal Oleksiejczuk
UFC Fight Night: Makhachev vs. Green,Islam Makhachev vs. Bobby Green
UFC Fight Night: Makhachev vs. Green,Wellington Turman vs. Misha Cirkunov
UFC Fight Night: Makhachev vs. Green,Priscila Cachoeira vs. Ji Yeon Kim
UFC Fight Night: Makhachev vs. Green,Arman Tsarukyan vs. Joel Alvarez
UFC Fight Night: Makhachev vs. Green,Armen Petrosyan vs. Gregory Rodrigues
UFC Fight Night: Makhachev vs. Green,Ignacio Bahamondes vs. Rong Zhu
UFC Fight Night: Makhachev vs. Green,Josiane Nunes vs. Ramona Pascual
UFC Fight Night: Makhachev vs. Green,Terrance McKinney vs. Fares Ziam
UFC Fight Night: Makhachev vs. Green,Jonathan Martinez vs. Alejandro Perez
UFC Fight Night: Makhachev vs. Green,Ramiz Brahimaj vs. Micheal Gillmore
UFC Fight Night: Makhachev vs. Green,Carlos Hernandez vs. Victor Altamirano
UFC Fight Night: Walker vs. Hill,Jamahal Hill vs. Johnny Walker
UFC Fight Night: Walker vs. Hill,Kyle Daukaus vs. Jamie Pickett
UFC Fight Night: Walker vs. Hill,Parker Porter vs. Alan Baudot
UFC Fight Night: Walker vs. Hill,Jim Miller vs. Nikolas Motta
UFC Fight Night: Walker vs. Hill,Joaquin Buckley vs. Abdul Razak Alhassan
UFC Fight Night: Walker vs. Hill,David Onama vs. Gabriel Benitez
UFC Fight Night: Walker vs. Hill,Stephanie Egger vs. Jessica-Rose Clark
UFC Fight Night: Walker vs. Hill,Chas Skelly vs. Mark Striegl
UFC Fight Night: Walker vs. Hill,Gloria de Paula vs. Diana Belbita
UFC Fight Night: Walker vs. Hill,Chad Anheliger vs. Jesse Strader
UFC Fight Night: Walker vs. Hill,Jonathan Pearce vs. Christian Rodriguez
UFC Fight Night: Walker vs. Hill,Mario Bautista vs. Jay Perrin
UFC 271: Adesanya vs. Whittaker 2,Israel Adesanya vs. Robert Whittaker
UFC 271: Adesanya vs. Whittaker 2,Tai Tuivasa vs. Derrick Lewis
UFC 271: Adesanya vs. Whittaker 2,Jared Cannonier vs. Derek Brunson
UFC 271: Adesanya vs. Whittaker 2,Renato Moicano vs. Alexander Hernandez
UFC 271: Adesanya vs. Whittaker 2,Bobby Green vs. Nasrat Haqparast
UFC 271: Adesanya vs. Whittaker 2,Andrei Arlovski vs. Jared Vanderaa
UFC 271: Adesanya vs. Whittaker 2,Casey O'Neill vs. Roxanne Modafferi
UFC 271: Adesanya vs. Whittaker 2,Kyler Phillips vs. Marcelo Rojo
UFC 271: Adesanya vs. Whittaker 2,Carlos Ulberg vs. Fabio Cherant
UFC 271: Adesanya vs. Whittaker 2,Ronnie Lawrence vs. Mana Martinez
UFC 271: Adesanya vs. Whittaker 2,Jacob Malkoun vs. AJ Dobson
UFC 271: Adesanya vs. Whittaker 2,Douglas Silva de Andrade vs. Sergey Morozov
UFC 271: Adesanya vs. Whittaker 2,Jeremiah Wells vs. Blood Diamond
UFC 271: Adesanya vs. Whittaker 2,Maxim Grishin vs. William Knight
UFC Fight Night: Hermansson vs. Strickland,Sean Strickland vs. Jack Hermansson
UFC Fight Night: Hermansson vs. Strickland,Nick Maximov vs. Punahele Soriano
UFC Fight Night: Hermansson vs. Strickland,Shavkat Rakhmonov vs. Carlston Harris
UFC Fight Night: Hermansson vs. Strickland,Brendan Allen vs. Sam Alvey
UFC Fight Night: Hermansson vs. Strickland,Bryan Battle vs. Tresean Gore
UFC Fight Night: Hermansson vs. Strickland,Julian Erosa vs. Steven Peterson
UFC Fight Night: Hermansson vs. Strickland,John Castaneda vs. Miles Johns
UFC Fight Night: Hermansson vs. Strickland,Hakeem Dawodu vs. Michael Trizano
UFC Fight Night: Hermansson vs. Strickland,Chidi Njokuani vs. Marc-Andre Barriault
UFC Fight Night: Hermansson vs. Strickland,Alexis Davis vs. Julija Stoliarenko
UFC Fight Night: Hermansson vs. Strickland,Jailton Almeida vs. Danilo Marques
UFC Fight Night: Hermansson vs. Strickland,Phil Rowe vs. Jason Witt
UFC Fight Night: Hermansson vs. Strickland,Malcolm Gordon vs. Denys Bondar
UFC 270: Ngannou vs. Gane,Francis Ngannou vs. Ciryl Gane
UFC 270: Ngannou vs. Gane,Deiveson Figueiredo vs. Brandon Moreno
UFC 270: Ngannou vs. Gane,Michel Pereira vs. Andre Fialho
UFC 270: Ngannou vs. Gane,Said Nurmagomedov vs. Cody Stamann
UFC 270: Ngannou vs. Gane,Michael Morales vs. Trevin Giles
UFC 270: Ngannou vs. Gane,Victor Henry vs. Raoni Barcelos
UFC 270: Ngannou vs. Gane,Jack Della Maddalena vs. Pete Rodriguez
UFC 270: Ngannou vs. Gane,Tony Gravely vs. Saimon Oliveira
UFC 270: Ngannou vs. Gane,Matt Frevola vs. Genaro Valdez
UFC 270: Ngannou vs. Gane,Vanessa Demopoulos vs. Silvana Gomez Juarez
UFC 270: Ngannou vs. Gane,Jasmine Jasudavicius vs. Kay Hansen
UFC Fight Night: Kattar vs. Chikadze,Calvin Kattar vs. Giga Chikadze
UFC Fight Night: Kattar vs. Chikadze,Jake Collier vs. Chase Sherman
UFC Fight Night: Kattar vs. Chikadze,Brandon Royval vs. Rogerio Bontorin
UFC Fight Night: Kattar vs. Chikadze,Katlyn Chookagian vs. Jennifer Maia
UFC Fight Night: Kattar vs. Chikadze,Viacheslav Borshchev vs. Dakota Bush
UFC Fight Night: Kattar vs. Chikadze,Bill Algeo vs. Joanderson Brito
UFC Fight Night: Kattar vs. Chikadze,Jamie Pickett vs. Joseph Holmes
UFC Fight Night: Kattar vs. Chikadze,Court McGee vs. Ramiz Brahimaj
UFC Fight Night: Kattar vs. Chikadze,Brian Kelleher vs. Kevin Croom
UFC Fight Night: Kattar vs. Chikadze,TJ Brown vs. Charles Rosa
UFC Fight Night: Lewis vs. Daukaus,Derrick Lewis vs. Chris Daukaus
UFC Fight Night: Lewis vs. Daukaus,Belal Muhammad vs. Stephen Thompson
UFC Fight Night: Lewis vs. Daukaus,Amanda Lemos vs. Angela Hill
UFC Fight Night: Lewis vs. Daukaus,Ricky Simon vs. Raphael Assuncao
UFC Fight Night: Lewis vs. Daukaus,Mateusz Gamrot vs. Diego Ferreira
UFC Fight Night: Lewis vs. Daukaus,Cub Swanson vs. Darren Elkins
UFC Fight Night: Lewis vs. Daukaus,Gerald Meerschaert vs. Dustin Stoltzfus
UFC Fight Night: Lewis vs. Daukaus,Justin Tafa vs. Harry Hunsucker
UFC Fight Night: Lewis vs. Daukaus,Melissa Gatto vs. Sijara Eubanks
UFC Fight Night: Lewis vs. Daukaus,Charles Jourdain vs. Andre Ewell
UFC Fight Night: Lewis vs. Daukaus,Raquel Pennington vs. Macy Chiasson
UFC Fight Night: Lewis vs. Daukaus,Don'Tale Mayes vs. Josh Parisian
UFC Fight Night: Lewis vs. Daukaus,Jordan Leavitt vs. Matt Sayles
UFC 269: Oliveira vs. Poirier,Charles Oliveira vs. Dustin Poirier
UFC 269: Oliveira vs. Poirier,Julianna Pena vs. Amanda Nunes
UFC 269: Oliveira vs. Poirier,Geoff Neal vs. Santiago Ponzinibbio
UFC 269: Oliveira vs. Poirier,Kai Kara-France vs. Cody Garbrandt
UFC 269: Oliveira vs. Poirier,Sean O'Malley vs. Raulian Paiva
UFC 269: Oliveira vs. Poirier,Josh Emmett vs. Dan Ige
UFC 269: Oliveira vs. Poirier,Dominick Cruz vs. Pedro Munhoz
UFC 269: Oliveira vs. Poirier,Tai Tuivasa vs. Augusto Sakai
UFC 269: Oliveira vs. Poirier,Bruno Arruda da Silva vs. Jordan Wright
UFC 269: Oliveira vs. Poirier,Andre Muniz vs. Eryk Anders
UFC 269: Oliveira vs. Poirier,Erin Blanchfield vs. Miranda Maverick
UFC 269: Oliveira vs. Poirier,Ryan Hall vs. Darrick Minner
UFC 269: Oliveira vs. Poirier,Tony Kelley vs. Randy Costa
UFC 269: Oliveira vs. Poirier,Gillian Robertson vs. Priscila Cachoeira
UFC Fight Night: Font vs. Aldo,Jose Aldo vs. Rob Font
UFC Fight Night: Font vs. Aldo,Rafael Fiziev vs. Brad Riddell
UFC Fight Night: Font vs. Aldo,Jamahal Hill vs. Jimmy Crute
UFC Fight Night: Font vs. Aldo,Clay Guida vs. Leonardo Santos
UFC Fight Night: Font vs. Aldo,Chris Curtis vs. Brendan Allen
UFC Fight Night: Font vs. Aldo,Alex Morono vs. Mickey Gall
UFC Fight Night: Font vs. Aldo,Dusko Todorovic vs. Maki Pitolo
UFC Fight Night: Font vs. Aldo,Manel Kape vs. Zhalgas Zhumagulov
UFC Fight Night: Font vs. Aldo,Bryan Barberena vs. Darian Weeks
UFC Fight Night: Font vs. Aldo,Cheyanne Vlismas vs. Mallory Martin
UFC Fight Night: Font vs. Aldo,William Knight vs. Alonzo Menifield
UFC Fight Night: Font vs. Aldo,Claudio Puelles vs. Chris Gruetzemacher
UFC Fight Night: Font vs. Aldo,Vince Morales vs. Louis Smolka
UFC Fight Night: Vieira vs. Tate,Ketlen Vieira vs. Miesha Tate
UFC Fight Night: Vieira vs. Tate,Sean Brady vs. Michael Chiesa
UFC Fight Night: Vieira vs. Tate,Taila Santos vs. Joanne Wood
UFC Fight Night: Vieira vs. Tate,Rani Yahya vs. Kyung Ho Kang
UFC Fight Night: Vieira vs. Tate,Adrian Yanez vs. Davey Grant
UFC Fight Night: Vieira vs. Tate,Pat Sabatini vs. Tucker Lutz
UFC Fight Night: Vieira vs. Tate,Rafa Garcia vs. Natan Levy
UFC Fight Night: Vieira vs. Tate,Loopy Godinez vs. Loma Lookboonmee
UFC Fight Night: Vieira vs. Tate,Cody Durden vs. Aoriqileng
UFC Fight Night: Vieira vs. Tate,Shayilan Nuerdanbieke vs. Sean Soriano
UFC Fight Night: Vieira vs. Tate,Luana Pinheiro vs. Sam Hughes
UFC Fight Night: Holloway vs. Rodriguez,Max Holloway vs. Yair Rodriguez
UFC Fight Night: Holloway vs. Rodriguez,Marcos Rogerio de Lima vs. Ben Rothwell
UFC Fight Night: Holloway vs. Rodriguez,Felicia Spencer vs. Leah Letson
UFC Fight Night: Holloway vs. Rodriguez,Khaos Williams vs. Miguel Baeza
UFC Fight Night: Holloway vs. Rodriguez,Song Yadong vs. Julio Arce
UFC Fight Night: Holloway vs. Rodriguez,Joel Alvarez vs. Thiago Moises
UFC Fight Night: Holloway vs. Rodriguez,Andrea Lee vs. Cynthia Calvillo
UFC Fight Night: Holloway vs. Rodriguez,Sean Woodson vs. Collin Anglin
UFC Fight Night: Holloway vs. Rodriguez,Cortney Casey vs. Liana Jojua
UFC Fight Night: Holloway vs. Rodriguez,Rafael Alves vs. Marc Diakiese
UFC Fight Night: Holloway vs. Rodriguez,Da-Un Jung vs. Kennedy Nzechukwu
UFC 268: Usman vs. Covington 2,Kamaru Usman vs. Colby Covington
UFC 268: Usman vs. Covington 2,Rose Namajunas vs. Zhang Weili
UFC 268: Usman vs. Covington 2,Marlon Vera vs. Frankie Edgar
UFC 268: Usman vs. Covington 2,Shane Burgos vs. Billy Quarantillo
UFC 268: Usman vs. Covington 2,Justin Gaethje vs. Michael Chandler
UFC 268: Usman vs. Covington 2,Alex Pereira vs. Andreas Michailidis
UFC 268: Usman vs. Covington 2,Bobby Green vs. Al Iaquinta
UFC 268: Usman vs. Covington 2,Chris Curtis vs. Phil Hawes
UFC 268: Usman vs. Covington 2,Nassourdine Imavov vs. Edmen Shahbazyan
UFC 268: Usman vs. Covington 2,Ian Garry vs. Jordan Williams
UFC 268: Usman vs. Covington 2,Chris Barnett vs. Gian Villante
UFC 268: Usman vs. Covington 2,Dustin Jacoby vs. John Allan
UFC 268: Usman vs. Covington 2,Melsik Baghdasaryan vs. Bruno Souza
UFC 268: Usman vs. Covington 2,Ode Osbourne vs. CJ Vergara
UFC 267: Blachowicz vs. Teixeira,Glover Teixeira vs. Jan Blachowicz
UFC 267: Blachowicz vs. Teixeira,Petr Yan vs. Cory Sandhagen
UFC 267: Blachowicz vs. Teixeira,Islam Makhachev vs. Dan Hooker
UFC 267: Blachowicz vs. Teixeira,Alexander Volkov vs. Marcin Tybura
UFC 267: Blachowicz vs. Teixeira,Khamzat Chimaev vs. Li Jingliang
UFC 267: Blachowicz vs. Teixeira,Magomed Ankalaev vs. Volkan Oezdemir
UFC 267: Blachowicz vs. Teixeira,Amanda Ribas vs. Virna Jandiroba
UFC 267: Blachowicz vs. Teixeira,Zubaira Tukhugov vs. Ricardo Ramos
UFC 267: Blachowicz vs. Teixeira,Albert Duraev vs. Roman Kopylov
UFC 267: Blachowicz vs. Teixeira,Elizeu Zaleski dos Santos vs. Benoit Saint Denis
UFC 267: Blachowicz vs. Teixeira,Michal Oleksiejczuk vs. Shamil Gamzatov
UFC 267: Blachowicz vs. Teixeira,Lerone Murphy vs. Makwan Amirkhani
UFC 267: Blachowicz vs. Teixeira,Andre Petroski vs. Hu Yaozong
UFC 267: Blachowicz vs. Teixeira,Tagir Ulanbekov vs. Allan Nascimento
UFC Fight Night: Costa vs. Vettori,Marvin Vettori vs. Paulo Costa
UFC Fight Night: Costa vs. Vettori,Grant Dawson vs. Ricky Glenn
UFC Fight Night: Costa vs. Vettori,Jessica-Rose Clark vs. Joselyne Edwards
UFC Fight Night: Costa vs. Vettori,Alex Caceres vs. SeungWoo Choi
UFC Fight Night: Costa vs. Vettori,Francisco Trinaldo vs. Dwight Grant
UFC Fight Night: Costa vs. Vettori,Nicolae Negumereanu vs. Ike Villanueva
UFC Fight Night: Costa vs. Vettori,Gregory Rodrigues vs. Junyong Park
UFC Fight Night: Costa vs. Vettori,Mason Jones vs. David Onama
UFC Fight Night: Costa vs. Vettori,Tabatha Ricci vs. Maria Oliveira
UFC Fight Night: Costa vs. Vettori,Jamie Pickett vs. Laureano Staropoli
UFC Fight Night: Costa vs. Vettori,Jai Herbert vs. Khama Worthy
UFC Fight Night: Costa vs. Vettori,Jeff Molina vs. Daniel Da Silva
UFC Fight Night: Costa vs. Vettori,Randa Markos vs. Livinha Souza
UFC Fight Night: Costa vs. Vettori,Jonathan Martinez vs. Zviad Lazishvili
UFC Fight Night: Ladd vs. Dumont,Norma Dumont vs. Aspen Ladd
UFC Fight Night: Ladd vs. Dumont,Andrei Arlovski vs. Carlos Felipe
UFC Fight Night: Ladd vs. Dumont,Jim Miller vs. Erick Gonzalez
UFC Fight Night: Ladd vs. Dumont,Manon Fiorot vs. Mayra Bueno Silva
UFC Fight Night: Ladd vs. Dumont,Nate Landwehr vs. Ludovit Klein
UFC Fight Night: Ladd vs. Dumont,Bruno Arruda da Silva vs. Andrew Sanchez
UFC Fight Night: Ladd vs. Dumont,Danny Roberts vs. Ramazan Emeev
UFC Fight Night: Ladd vs. Dumont,Luana Carolina vs. Loopy Godinez
UFC Fight Night: Ladd vs. Dumont,Danaa Batgerel vs. Brandon Davis
UFC Fight Night: Ladd vs. Dumont,Ariane Carnelossi vs. Istela Nunes
UFC Fight Night: Dern vs. Rodriguez,Marina Rodriguez vs. Mackenzie Dern
UFC Fight Night: Dern vs. Rodriguez,Randy Brown vs. Jared Gooden
UFC Fight Night: Dern vs. Rodriguez,Matheus Nicolau vs. Tim Elliott
UFC Fight Night: Dern vs. Rodriguez,Mariya Agapova vs. Sabina Mazo
UFC Fight Night: Dern vs. Rodriguez,Chris Gutierrez vs. Felipe Colares
UFC Fight Night: Dern vs. Rodriguez,Alexandr Romanov vs. Jared Vanderaa
UFC Fight Night: Dern vs. Rodriguez,Damon Jackson vs. Charles Rosa
UFC Fight Night: Dern vs. Rodriguez,Loopy Godinez vs. Silvana Gomez Juarez
UFC Fight Night: Dern vs. Rodriguez,Steve Garcia vs. Charlie Ontiveros
UFC Fight Night: Santos vs. Walker,Thiago Santos vs. Johnny Walker
UFC Fight Night: Santos vs. Walker,Kevin Holland vs. Kyle Daukaus
UFC Fight Night: Santos vs. Walker,Niko Price vs. Alex Oliveira
UFC Fight Night: Santos vs. Walker,Krzysztof Jotko vs. Misha Cirkunov
UFC Fight Night: Santos vs. Walker,Alexander Hernandez vs. Mike Breeden
UFC Fight Night: Santos vs. Walker,Jared Gordon vs. Joe Solecki
UFC Fight Night: Santos vs. Walker,Casey O'Neill vs. Antonina Shevchenko
UFC Fight Night: Santos vs. Walker,Karol Rosa vs. Bethe Correia
UFC Fight Night: Santos vs. Walker,Jamie Mullarkey vs. Devonte Smith
UFC Fight Night: Santos vs. Walker,Douglas Silva de Andrade vs. Gaetano Pirrello
UFC Fight Night: Santos vs. Walker,Stephanie Egger vs. Shanna Young
UFC Fight Night: Santos vs. Walker,Alejandro Perez vs. Johnny Eduardo
UFC 266: Volkanovski vs. Ortega,Alexander Volkanovski vs. Brian Ortega
UFC 266: Volkanovski vs. Ortega,Valentina Shevchenko vs. Lauren Murphy
UFC 266: Volkanovski vs. Ortega,Robbie Lawler vs. Nick Diaz
UFC 266: Volkanovski vs. Ortega,Curtis Blaydes vs. Jairzinho Rozenstruik
UFC 266: Volkanovski vs. Ortega,Jessica Andrade vs. Cynthia Calvillo
UFC 266: Volkanovski vs. Ortega,Merab Dvalishvili vs. Marlon Moraes
UFC 266: Volkanovski vs. Ortega,Dan Hooker vs. Nasrat Haqparast
UFC 266: Volkanovski vs. Ortega,Chris Daukaus vs. Shamil Abdurakhimov
UFC 266: Volkanovski vs. Ortega,Taila Santos vs. Roxanne Modafferi
UFC 266: Volkanovski vs. Ortega,Jalin Turner vs. Uros Medic
UFC 266: Volkanovski vs. Ortega,Nick Maximov vs. Cody Brundage
UFC 266: Volkanovski vs. Ortega,Matthew Semelsberger vs. Martin Sano
UFC 266: Volkanovski vs. Ortega,Jonathan Pearce vs. Omar Morales
UFC Fight Night: Smith vs. Spann,Anthony Smith vs. Ryan Spann
UFC Fight Night: Smith vs. Spann,Ion Cutelaba vs. Devin Clark
UFC Fight Night: Smith vs. Spann,Ariane Lipski vs. Mandy Bohm
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan vs. Christos Giagos
UFC Fight Night: Smith vs. Spann,Nate Maness vs. Tony Gravely
UFC Fight Night: Smith vs. Spann,Joaquin Buckley vs. Antonio Arroyo
UFC Fight Night: Smith vs. Spann,Tafon Nchukwi vs. Mike Rodriguez
UFC Fight Night: Smith vs. Spann,Raquel Pennington vs. Pannie Kianzad
UFC Fight Night: Smith vs. Spann,Rong Zhu vs. Brandon Jenkins
UFC Fight Night: Smith vs. Spann,Montel Jackson vs. JP Buys
UFC Fight Night: Smith vs. Spann,Erin Blanchfield vs. Sarah Alpar
UFC Fight Night: Smith vs. Spann,Carlston Harris vs. Impa Kasanganay
UFC Fight Night: Smith vs. Spann,Gustavo Lopez vs. Alatengheili
UFC Fight Night: Smith vs. Spann,Hannah Goldy vs. Emily Whitmire
UFC Fight Night: Brunson vs. Till,Derek Brunson vs. Darren Till
UFC Fight Night: Brunson vs. Till,Tom Aspinall vs. Serghei Spivac
UFC Fight Night: Brunson vs. Till,Alex Morono vs. David Zawada
UFC Fight Night: Brunson vs. Till,Khalil Rountree Jr. vs. Modestas Bukauskas
UFC Fight Night: Brunson vs. Till,Paddy Pimblett vs. Luigi Vendramini
UFC Fight Night: Brunson vs. Till,Molly McCann vs. Ji Yeon Kim
UFC Fight Night: Brunson vs. Till,Jack Shore vs. Liudvik Sholinian
UFC Fight Night: Brunson vs. Till,Julian Erosa vs. Charles Jourdain
UFC Fight Night: Brunson vs. Till,Marc-Andre Barriault vs. Dalcha Lungiambula
UFC Fight Night: Barboza vs. Chikadze,Giga Chikadze vs. Edson Barboza
UFC Fight Night: Barboza vs. Chikadze,Bryan Battle vs. Gilbert Urbina
UFC Fight Night: Barboza vs. Chikadze,Ricky Turcios vs. Brady Hiestand
UFC Fight Night: Barboza vs. Chikadze,Daniel Rodriguez vs. Kevin Lee
UFC Fight Night: Barboza vs. Chikadze,Andre Petroski vs. Micheal Gillmore
UFC Fight Night: Barboza vs. Chikadze,Gerald Meerschaert vs. Makhmud Muradov
UFC Fight Night: Barboza vs. Chikadze,Abdul Razak Alhassan vs. Alessio Di Chirico
UFC Fight Night: Barboza vs. Chikadze,Wellington Turman vs. Sam Alvey
UFC Fight Night: Barboza vs. Chikadze,Dustin Jacoby vs. Darren Stewart
UFC Fight Night: Barboza vs. Chikadze,JJ Aldrich vs. Vanessa Demopoulos
UFC Fight Night: Barboza vs. Chikadze,Pat Sabatini vs. Jamall Emmers
UFC Fight Night: Barboza vs. Chikadze,Mana Martinez vs. Guido Cannetti
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier vs. Kelvin Gastelum
UFC Fight Night: Cannonier vs. Gastelum,Mark Madsen vs. Clay Guida
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter vs. Chase Sherman
UFC Fight Night: Cannonier vs. Gastelum,Saidyokub Kakhramonov vs. Trevin Jones
UFC Fight Night: Cannonier vs. Gastelum,Vinc Pichel vs. Austin Hubbard
UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja vs. Brandon Royval
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo vs. Luis Saldana
UFC Fight Night: Cannonier vs. Gastelum,Brian Kelleher vs. Domingo Pilarte
UFC Fight Night: Cannonier vs. Gastelum,Josiane Nunes vs. Bea Malecki
UFC Fight Night: Cannonier vs. Gastelum,William Knight vs. Fabio Cherant
UFC Fight Night: Cannonier vs. Gastelum,Ignacio Bahamondes vs. Roosevelt Roberts
UFC Fight Night: Cannonier vs. Gastelum,Ramiz Brahimaj vs. Sasha Palatnikov
UFC 265: Lewis vs. Gane,Ciryl Gane vs. Derrick Lewis
UFC 265: Lewis vs. Gane,Jose Aldo vs. Pedro Munhoz
UFC 265: Lewis vs. Gane,Vicente Luque vs. Michael Chiesa
UFC 265: Lewis vs. Gane,Tecia Torres vs. Angela Hill
UFC 265: Lewis vs. Gane,Song Yadong vs. Casey Kenney
UFC 265: Lewis vs. Gane,Rafael Fiziev vs. Bobby Green
UFC 265: Lewis vs. Gane,Vince Morales vs. Drako Rodriguez
UFC 265: Lewis vs. Gane,Alonzo Menifield vs. Ed Herman
UFC 265: Lewis vs. Gane,Jessica Penne vs. Karolina Kowalkiewicz
UFC 265: Lewis vs. Gane,Manel Kape vs. Ode Osbourne
UFC 265: Lewis vs. Gane,Miles Johns vs. Anderson Dos Santos
UFC 265: Lewis vs. Gane,Melissa Gatto vs. Victoria Leonardo
UFC 265: Lewis vs. Gane,Johnny Munoz vs. Jamey Simmons
UFC Fight Night: Hall vs. Strickland,Sean Strickland vs. Uriah Hall
UFC Fight Night: Hall vs. Strickland,Cheyanne Vlismas vs. Gloria de Paula
UFC Fight Night: Hall vs. Strickland,Jared Gooden vs. Niklas Stolze
UFC Fight Night: Hall vs. Strickland,Melsik Baghdasaryan vs. Collin Anglin
UFC Fight Night: Hall vs. Strickland,Jason Witt vs. Bryan Barberena
UFC Fight Night: Hall vs. Strickland,Chris Gruetzemacher vs. Rafa Garcia
UFC Fight Night: Hall vs. Strickland,Danny Chavez vs. Kai Kamaka
UFC Fight Night: Hall vs. Strickland,Jinh Yu Frey vs. Ashley Yoder
UFC Fight Night: Hall vs. Strickland,Zarrukh Adashev vs. Ryan Benoit
UFC Fight Night: Hall vs. Strickland,Phil Rowe vs. Orion Cosce
UFC Fight Night: Sandhagen vs. Dillashaw,TJ Dillashaw vs. Cory Sandhagen
UFC Fight Night: Sandhagen vs. Dillashaw,Raulian Paiva vs. Kyler Phillips
UFC Fight Night: Sandhagen vs. Dillashaw,Darren Elkins vs. Darrick Minner
UFC Fight Night: Sandhagen vs. Dillashaw,Maycee Barber vs. Miranda Maverick
UFC Fight Night: Sandhagen vs. Dillashaw,Adrian Yanez vs. Randy Costa
UFC Fight Night: Sandhagen vs. Dillashaw,Brendan Allen vs. Punahele Soriano
UFC Fight Night: Sandhagen vs. Dillashaw,Nassourdine Imavov vs. Ian Heinisch
UFC Fight Night: Sandhagen vs. Dillashaw,Mickey Gall vs. Jordan Williams
UFC Fight Night: Sandhagen vs. Dillashaw,Julio Arce vs. Andre Ewell
UFC Fight Night: Sandhagen vs. Dillashaw,Sijara Eubanks vs. Elise Reed
UFC Fight Night: Sandhagen vs. Dillashaw,Diana Belbita vs. Hannah Goldy
UFC Fight Night: Makhachev vs. Moises,Islam Makhachev vs. Thiago Moises
UFC Fight Night: Makhachev vs. Moises,Miesha Tate vs. Marion Reneau
UFC Fight Night: Makhachev vs. Moises,Mateusz Gamrot vs. Jeremy Stephens
UFC Fight Night: Makhachev vs. Moises,Rodolfo Vieira vs. Dustin Stoltzfus
UFC Fight Night: Makhachev vs. Moises,Billy Quarantillo vs. Gabriel Benitez
UFC Fight Night: Makhachev vs. Moises,Daniel Rodriguez vs. Preston Parsons
