EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS
UFC Fight Night: Sandhagen vs. Figueiredo,Juliana Miller vs. Ivana Petrovic,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Tyrone Roberts,Josh Stewart 28 - 29. Bruce Huckfeldt 28 - 29. Mike Bell 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Don'Tale Mayes vs. Thomas Petersen,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Bruce Allen,Bruce Huckfeldt 25 - 30. Ron McCarthy 26 - 30. Derek Cleary 26 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Quang Le vs. Gaston Bolanos,W/L,Bantamweight Bout,Submission ,2,1:54,3 Rnd (5-5-5),Tyrone Roberts,Rear Naked Choke
UFC Fight Night: Sandhagen vs. Figueiredo,Gillian Robertson vs. Marina Rodriguez,W/L,Women's Strawweight Bout,KO/TKO ,2,2:07,3 Rnd (5-5-5),Bruce Allen,Punches to Head From Mount
UFC Fight Night: Sandhagen vs. Figueiredo,Azamat Bekoev vs. Ryan Loder,W/L,Middleweight Bout,KO/TKO ,1,2:44,3 Rnd (5-5-5),Gary Copeland,Punch to Head At Distance
UFC Fight Night: Sandhagen vs. Figueiredo,Yana Kunitskaya vs. Miesha Tate,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Josh Stewart 28 - 29. Derek Cleary 28 - 29. Brian Puccillo 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Mason Jones vs. Jeremy Stephens,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 27 - 30. Bruce Huckfeldt 27 - 30. Mike Bell 27 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Serhiy Sidey vs. Cameron Smotherman,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Josh Stewart 27 - 30. Ellis Moore 28 - 29. Brian Puccillo 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Montel Jackson vs. Daniel Marcos,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Bruce Huckfeldt 27 - 30. Derek Cleary 27 - 30. Brian Puccillo 27 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Daniel Rodriguez vs. Santiago Ponzinibbio,W/L,Welterweight Bout,KO/TKO ,3,1:12,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance
UFC Fight Night: Sandhagen vs. Figueiredo,Reinier de Ridder vs. Bo Nickal,W/L,Middleweight Bout,KO/TKO ,2,1:53,3 Rnd (5-5-5),Mike Beltran,Knee to Body At Distance
UFC Fight Night: Sandhagen vs. Figueiredo,Cory Sandhagen vs. Deiveson Figueiredo,W/L,Bantamweight Bout,KO/TKO ,2,4:08,5 Rnd (5-5-5-5-5),Dan Miragliotta,to Knee Injur
UFC Fight Night: Machado Garry vs. Prates,Ian Garry vs. Carlos Prates,W/L,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 47 - 48.Chris Lee 47 - 48.Travis Buesking 46 - 49.
UFC Fight Night: Machado Garry vs. Prates,Anthony Smith vs. Zhang Minyang,L/W,Light Heavyweight Bout,KO/TKO ,1,4:03,3 Rnd (5-5-5),Jason Herzog,Elbows to Head On Ground 
UFC Fight Night: Machado Garry vs. Prates,Giga Chikadze vs. David Onama,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Brian Puccillo 28 - 29.Henry Guery 28 - 29.Chris Lee 28 - 29.
UFC Fight Night: Machado Garry vs. Prates,Michel Pereira vs. Abus Magomedov,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Nick Berens,Sal D'amato 27 - 30.Travis Buesking 27 - 30.Derek Cleary 27 - 30.
UFC Fight Night: Machado Garry vs. Prates,Randy Brown vs. Nicolas Dalby,W/L,Welterweight Bout,KO/TKO ,2,1:39,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance 
UFC Fight Night: Machado Garry vs. Prates,Ikram Aliskerov vs. Andre Muniz,W/L,Middleweight Bout,KO/TKO ,1,4:54,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Half Guard 
UFC Fight Night: Machado Garry vs. Prates,Matt Schnell vs. Jimmy Flick,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Eric Colon 28 - 29.Derek Cleary 28 - 29.David Huyette 28 - 29.
UFC Fight Night: Machado Garry vs. Prates,Evan Elder vs. Gauge Young,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Nick Berens,Brian Puccillo 27 - 30.Henry Guery 27 - 30.Chris Lee 27 - 30.
UFC Fight Night: Machado Garry vs. Prates,Chris Gutierrez vs. John Castaneda,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Travis Buesking 28 - 29.David Huyette 29 - 28.Sal D'amato 28 - 29.
UFC Fight Night: Machado Garry vs. Prates,Da'Mon Blackshear vs. Alatengheili,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 27 - 30.Eric Colon 27 - 30.Derek Cleary 28 - 29.
UFC Fight Night: Machado Garry vs. Prates,Malcolm Wellmaker vs. Cameron Saaiman,W/L,Bantamweight Bout,KO/TKO ,1,1:59,3 Rnd (5-5-5),Zach Teiberis,Punch to Head At Distance 
UFC Fight Night: Machado Garry vs. Prates,Jaqueline Amorim vs. Polyana Viana,W/L,Women's Strawweight Bout,Submission ,2,1:49,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke 
UFC Fight Night: Machado Garry vs. Prates,Timothy Cuamba vs. Roberto Romero,W/L,Featherweight Bout,KO/TKO ,2,3:55,3 Rnd (5-5-5),Nick Berens,Flying Knee Head 
UFC Fight Night: Machado Garry vs. Prates,Chelsea Chandler vs. Joselyne Edwards,L/W,Women's Bantamweight Bout,KO/TKO ,1,2:31,3 Rnd (5-5-5),Zach Teiberis,Punches to Head On Ground 
UFC 314: Volkanovski vs. Lopes,Alexander Volkanovski vs. Diego Lopes,W/L,UFC Featherweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 46 - 49.Chris Lee 46 - 49.Derek Cleary 47 - 48.
UFC 314: Volkanovski vs. Lopes,Michael Chandler vs. Paddy Pimblett,L/W,Lightweight Bout,KO/TKO ,3,3:07,5 Rnd (5-5-5-5-5),Kerry Hatley,Elbows to Head From Mount 
UFC 314: Volkanovski vs. Lopes,Yair Rodriguez vs. Patricio Freire,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Eliseo Rodriguez 27 - 30.Junichiro Kamijo 27 - 30.Sal D'amato 27 - 30.
UFC 314: Volkanovski vs. Lopes,Bryce Mitchell vs. Jean Silva Lord,L/W,Featherweight Bout,Submission ,2,3:52,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke In Clinch 
UFC 314: Volkanovski vs. Lopes,Nikita Krylov vs. Dominick Reyes,L/W,Light Heavyweight Bout,KO/TKO ,1,2:24,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance 
UFC 314: Volkanovski vs. Lopes,Dan Ige vs. Sean Woodson,W/L,Featherweight Bout,KO/TKO ,3,1:12,3 Rnd (5-5-5),Andrew Glenn,Punches to Head On Ground 
UFC 314: Volkanovski vs. Lopes,Yan Xiaonan vs. Virna Jandiroba,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Troy Wincapaw 27 - 30.Eliseo Rodriguez 27 - 30.Sal D'amato 27 - 30.
UFC 314: Volkanovski vs. Lopes,Jim Miller vs. Chase Hooper,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Troy Wincapaw 27 - 30.Junichiro Kamijo 28 - 29.Eliseo Rodriguez 28 - 29.
UFC 314: Volkanovski vs. Lopes,Darren Elkins vs. Julian Erosa,L/W,Featherweight Bout,KO/TKO ,1,4:15,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground 
UFC 314: Volkanovski vs. Lopes,Sedriques Dumas vs. Michal Oleksiejczuk,L/W,Middleweight Bout,KO/TKO ,1,2:49,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground 
UFC 314: Volkanovski vs. Lopes,Sumudaerji vs. Mitch Raposo,W/L,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Junichiro Kamijo 29 - 28.Christopher Edgehill 28 - 29.Troy Wincapaw 28 - 29.
UFC 314: Volkanovski vs. Lopes,Tresean Gore vs. Marco Tulio,L/W,Middleweight Bout,KO/TKO ,2,3:16,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance 
UFC 314: Volkanovski vs. Lopes,Nora Cornolle vs. Hailey Cowan,W/L,Women's Bantamweight Bout,Submission ,2,1:52,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke 
UFC Fight Night: Emmett vs. Murphy,Josh Emmett vs. Lerone Murphy,L/W,Featherweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Ben Cartlidge 47 - 48.Sal D'amato 47 - 48.Eric Colon 46 - 49.
UFC Fight Night: Emmett vs. Murphy,Pat Sabatini vs. Joanderson Brito,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 26 - 30.Chris Leben 26 - 30.David Lethaby 27 - 30.
UFC Fight Night: Emmett vs. Murphy,Cortavious Romious vs. Chang Ho Lee,L/W,Bantamweight Bout,KO/TKO ,2,3:48,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Mount 
UFC Fight Night: Emmett vs. Murphy,Brad Tavares vs. Gerald Meerschaert,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.David Lethaby 28 - 29.
UFC Fight Night: Emmett vs. Murphy,Ode Osbourne vs. Luis Gurule,W/L,Flyweight Bout,KO/TKO ,2,1:54,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance 
UFC Fight Night: Emmett vs. Murphy,Torrez Finney vs. Robert Valentin Frey,W/L,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Tony Weeks 30 - 27.Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.
UFC Fight Night: Emmett vs. Murphy,Diana Belbita vs. Dione Barbosa,L/W,Women's Flyweight Bout,Submission ,1,4:13,3 Rnd (5-5-5),Keith Peterson,Arm Triangle From Side Control 
UFC Fight Night: Emmett vs. Murphy,Rhys McKee vs. Daniel Frunza,W/L,Welterweight Bout,TKO - Doctor's Stoppage ,1,5:00,3 Rnd (5-5-5),Jason Herzog,
UFC Fight Night: Emmett vs. Murphy,Loma Lookboonmee vs. Istela Nunes,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Sal D'amato 28 - 29.Chris Leben 28 - 29.
UFC Fight Night: Emmett vs. Murphy,Victor Henry vs. Pedro Falcao,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Chris Leben 28 - 29.
UFC Fight Night: Emmett vs. Murphy,Martin Buday vs. Uran Satybaldiev,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.David Lethaby 28 - 29.Tony Weeks 28 - 29.
UFC Fight Night: Emmett vs. Murphy,Vanessa Demopoulos vs. Talita Alencar,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 26 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.
UFC Fight Night: Moreno vs. Erceg,Brandon Moreno vs. Steven Erceg,W/L,Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Sal D'amato 46 - 49.Chris Lee 46 - 49.
UFC Fight Night: Moreno vs. Erceg,Manuel Torres vs. Drew Dober,W/L,Lightweight Bout,KO/TKO ,1,1:45,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground 
UFC Fight Night: Moreno vs. Erceg,Edgar Chairez vs. CJ Vergara,W/L,Flyweight Bout,Submission ,1,2:30,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke 
UFC Fight Night: Moreno vs. Erceg,Raul Rosas Jr. vs. Vince Morales,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.
UFC Fight Night: Moreno vs. Erceg,David Martinez vs. Saimon Oliveira,W/L,Bantamweight Bout,KO/TKO ,1,4:38,3 Rnd (5-5-5),Marc Goddard,Knee to Head In Clinch 
UFC Fight Night: Moreno vs. Erceg,Luis Rodriguez vs. Kevin Borjas,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 27 - 30.Sal D'amato 27 - 30.Bladimir Puga 28 - 29.
UFC Fight Night: Moreno vs. Erceg,Jose Medina vs. Ateba Gautier,L/W,Middleweight Bout,KO/TKO ,1,3:32,3 Rnd (5-5-5),Raul Porrata,Knee to Head In Clinch 
UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez vs. Melquizael Costa,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Miguel Jimenez 28 - 29.Chris Lee 28 - 29.Dave Tirelli 28 - 29.
UFC Fight Night: Moreno vs. Erceg,Loopy Godinez vs. Julia Polastri,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Bladimir Puga 28 - 29.Mike Bell 28 - 29.Eric Colon 28 - 29.
UFC Fight Night: Moreno vs. Erceg,Rafa Garcia vs. Vinc Pichel,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Raul Porrata,Guilherme Bravo 27 - 30.Dave Tirelli 27 - 30.Sal D'amato 28 - 29.
UFC Fight Night: Moreno vs. Erceg,Jamall Emmers vs. Gabriel Miranda,W/L,Featherweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Fernando Salas Navarro,Punch to Head At Distance 
UFC Fight Night: Moreno vs. Erceg,Marquel Mederos vs. Austin Hubbard,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Mike Bell 28 - 29.Miguel Jimenez 29 - 28.Sal D'amato 28 - 29.
UFC Fight Night: Edwards vs. Brady,Leon Edwards vs. Sean Brady,L/W,Welterweight Bout,Submission ,4,1:39,5 Rnd (5-5-5-5-5),Jason Herzog,Guillotine Choke From Mount 
UFC Fight Night: Edwards vs. Brady,Jan Blachowicz vs. Carlos Ulberg,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Vito Paolillo 28 - 29.
UFC Fight Night: Edwards vs. Brady,Gunnar Nelson vs. Kevin Holland,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Darryl Ransom 28 - 29.David Lethaby 28 - 29.Anders Ohlsson 28 - 29.
UFC Fight Night: Edwards vs. Brady,Molly McCann vs. Alexia Thainara,L/W,Women's Strawweight Bout,Submission ,1,4:32,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke 
UFC Fight Night: Edwards vs. Brady,Jordan Vucenic vs. Chris Duncan,L/W,Lightweight Bout,Submission ,2,3:42,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke After Drop to Guard 
UFC Fight Night: Edwards vs. Brady,Nathaniel Wood vs. Morgan Charriere,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Lee 27 - 30.Anders Ohlsson 27 - 30.Clemens Werner 27 - 30.
UFC Fight Night: Edwards vs. Brady,Jai Herbert vs. Chris Padilla,L/W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom 28 - 29.Anders Ohlsson 29 - 28.Vito Paolillo 28 - 29.
UFC Fight Night: Edwards vs. Brady,Lone'er Kavanagh vs. Felipe dos Santos,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Clemens Werner 28 - 29.
UFC Fight Night: Edwards vs. Brady,Marcin Tybura vs. Michael Parkin,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Darryl Ransom 28 - 29.Chris Lee 28 - 29.Vito Paolillo 28 - 29.
UFC Fight Night: Edwards vs. Brady,Christian Duncan vs. Andrey Pulyaev,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 27 - 30.Clemens Werner 27 - 30.Anders Ohlsson 26 - 30.
UFC Fight Night: Edwards vs. Brady,Shauna Bannon vs. Puja Tomar,W/L,Women's Strawweight Bout,Submission ,2,3:22,3 Rnd (5-5-5),Lukasz Bosacki,Armbar From Bottom Guard 
UFC Fight Night: Edwards vs. Brady,Nathan Fletcher vs. Caolan Loughran,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 28 - 29.Anders Ohlsson 29 - 28.Vito Paolillo 28 - 29.
UFC Fight Night: Edwards vs. Brady,Guram Kutateladze vs. Kaue Fernandes,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Darryl Ransom 27 - 30.David Lethaby 27 - 30.Clemens Werner 27 - 30.
UFC Fight Night: Vettori vs. Dolidze 2,Marvin Vettori vs. Roman Dolidze,L/W,Middleweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Derek Cleary 46 - 49.Sal D'amato 46 - 49.
UFC Fight Night: Vettori vs. Dolidze 2,Chidi Njokuani vs. Elizeu Zaleski dos Santos,W/L,Welterweight Bout,KO/TKO ,2,2:19,3 Rnd (5-5-5),Mark Smith,Knee to Head In Clinch 
UFC Fight Night: Vettori vs. Dolidze 2,Alexander Hernandez vs. Kurt Holobaugh,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Eric Colon 27 - 30.Mike Bell 28 - 29.Bryan Miner 28 - 29.
UFC Fight Night: Vettori vs. Dolidze 2,Da'Mon Blackshear vs. Cody Gibson,W/L,Bantamweight Bout,Submission ,2,4:09,3 Rnd (5-5-5),Chris Tognoni,Kimura From Side Control 
UFC Fight Night: Vettori vs. Dolidze 2,Diyar Nurgozhay vs. Brendson Ribeiro,L/W,Light Heavyweight Bout,Submission ,2,1:28,3 Rnd (5-5-5),Herb Dean,Kimura From Bottom Side Control 
UFC Fight Night: Vettori vs. Dolidze 2,SeungWoo Choi vs. Kevin Vallejos,L/W,Featherweight Bout,KO/TKO ,1,3:09,3 Rnd (5-5-5),Kerry Hatley,Punches to Head On Ground 
UFC Fight Night: Vettori vs. Dolidze 2,Waldo Cortes-Acosta vs. Ryan Spann,W/L,Heavyweight Bout,KO/TKO ,2,4:48,3 Rnd (5-5-5),Mark Smith,Punches to Head From Guard 
UFC Fight Night: Vettori vs. Dolidze 2,Soo Young Yoo vs. AJ Cunningham,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Chris Leben 27 - 30.Tony Weeks 27 - 30.
UFC Fight Night: Vettori vs. Dolidze 2,Carlos Vera vs. Josias Musasa,W/L,Bantamweight Bout,Submission ,1,3:16,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke 
UFC Fight Night: Vettori vs. Dolidze 2,Stephanie Bruna vs. Sam Hughes,L/W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Sal D'amato 29 - 28.Derek Cleary 27 - 29.
UFC Fight Night: Vettori vs. Dolidze 2,Daniel Barez vs. Andre Lima,L/W,Flyweight Bout,Submission ,3,3:05,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke 
UFC Fight Night: Vettori vs. Dolidze 2,Josiane Nunes vs. Priscila Cachoeira,L/W,Women's Bantamweight Bout,KO/TKO ,1,2:46,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance 
UFC Fight Night: Vettori vs. Dolidze 2,Yuneisy Duben vs. Carli Judice,L/W,Women's Flyweight Bout,KO/TKO ,1,1:40,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance 
UFC 313: Pereira vs. Ankalaev,Alex Pereira vs. Magomed Ankalaev,L/W,UFC Light Heavyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 46 - 49.Derek Cleary 47 - 48.Mike Bell 47 - 48.
UFC 313: Pereira vs. Ankalaev,Justin Gaethje vs. Rafael Fiziev,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29.Chris Lee 28 - 29.Ron McCarthy 28 - 29.
UFC 313: Pereira vs. Ankalaev,Jalin Turner vs. Ignacio Bahamondes,L/W,Lightweight Bout,Submission ,1,2:29,3 Rnd (5-5-5),Mark Smith,Triangle Choke From Bottom Guard 
UFC 313: Pereira vs. Ankalaev,Amanda Lemos vs. Iasmin Lucindo,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29.Sal D'amato 28 - 29.Ron McCarthy 28 - 29.
UFC 313: Pereira vs. Ankalaev,Bobby Green vs. Mauricio Ruffy,L/W,Lightweight Bout,KO/TKO ,1,2:07,3 Rnd (5-5-5),Chris Tognoni,Kick to Head At DistanceWheel kick
UFC 313: Pereira vs. Ankalaev,Joshua Van vs. Rei Tsuruya,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Ben Cartlidge 27 - 30.Derek Cleary 27 - 30.
UFC 313: Pereira vs. Ankalaev,Bruno Ferreira vs. Armen Petrosyan,W/L,Middleweight Bout,Submission ,2,4:27,3 Rnd (5-5-5),Mark Smith,Armbar From Bottom Guard 
UFC 313: Pereira vs. Ankalaev,Alex Morono vs. Carlos Leal,L/W,Welterweight Bout,KO/TKO ,1,4:16,3 Rnd (5-5-5),Keith Peterson,Punches to Head In Clinch 
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 30 - 27.Chris Lee 28 - 29.David Lethaby 28 - 29.
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 28 - 29.Chris Lee 28 - 29.Tony Weeks 28 - 29.
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Assu Almabayev,W/L,Flyweight Bout,KO/TKO ,3,2:16,5 Rnd (5-5-5-5-5),Mike Beltran,Punches to Head At Distance 
UFC Fight Night: Kape vs. Almabayev,Cody Brundage vs. Julian Marquez,W/L,Middleweight Bout,KO/TKO ,1,4:45,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground 
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Chris Lee 29 - 28.Sal D'amato 28 - 29.
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Anthony Maness 29 - 28.Ron McCarthy 28 - 29.
UFC Fight Night: Kape vs. Almabayev,Danny Barlow vs. Sam Patterson,L/W,Welterweight Bout,KO/TKO ,1,3:10,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance 
UFC Fight Night: Kape vs. Almabayev,Austen Lane vs. Mario Pinto,L/W,Heavyweight Bout,KO/TKO ,2,0:39,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance 
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Jose Mariscal,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Sal D'amato 27 - 30.Chris Leben 27 - 30.
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell 28 - 29.Anthony Maness 29 - 28.Ron McCarthy 28 - 29.
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 30.Junichiro Kamijo 27 - 30.Ron McCarthy 28 - 29.
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29.Bryan Miner 28 - 29.Tony Weeks 28 - 29.
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Technical Decision - Eye Poke by SongMike Bell 28 - 29.Derek Cleary 28 - 29.Sal D'amato 27 - 30.
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,W/L,Catch Weight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary 28 - 29.Sal D'amato 29 - 28.Mike Bell 28 - 29.
UFC Fight Night: Cejudo vs. Song,Jean Silva Lord vs. Melsik Baghdasaryan,W/L,Featherweight Bout,KO/TKO ,1,4:15,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance 
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,W/L,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Brianne Davis 29 - 28.Sal D'amato 28 - 29.Derek Cleary 27 - 30.
